"","cell_clustering","CD11c","Tbet","Ly6C","CD62L","Gata3","CD49b","IgM","CD8a","Foxp3","CD5","CD38","CD45R","CD69","F4_80","CD11b_Mac1","CD25_IL2R","Ly6G","CD19","CD3e","ROR_gamma_t","CD206_MMR","CD44","CD4","CD117_ckit","I_A_I_E_MHC_class_II","FceR1a","proportion"
"1",1,0,0,0,0.328307560906111,0,0,0.780382237252383,0,0,0.3958965338611,0.975261307377199,0.186884013951599,0,0,0.00806824799559969,0,0,1,0,0.112311953886752,0,0.586319504933796,0.126133547778552,0.0708592673948883,0.880156067965911,0.351866980828508,0.07
"2",2,0,0,0,0.02848276970786,0,0,0.495120583826366,0,0,0,0.680630755838203,0.202255606632358,0,0,0,0,0,0.699400664968565,0,0.0449822896781828,0,0.458736437329652,0.0303658229845627,0,0.802584533621119,0.131971100593684,0.27
"3",3,0,0,0,0.633980300478438,0,0,0.697811463576156,0,0,0,0.760337835834265,0.548538012781169,0,0,0,0,0,0.482046019723474,0,0.040601575280158,0,0.338843107430799,0.000482076515313649,0.0115768791124256,0.850242548442798,0.211809392299016,0.26
"4",4,0,0,0,0.321205226738219,0,1,0.367297931956459,0,0,0,0.644423678162374,0.294654189068764,0,0,0,0,0,0.62346378936711,0,0.152154390853593,0,0.442855199630995,0.0467110260975384,0.0141597994875611,0.797178154115888,0.150929519961101,0.08
"5",5,0,0,0,0.595757660407491,0,0,0.452769151088868,0,0,0,0.556495736742613,0.277057588785795,0,0,0,0,0,0.288977436597193,0,0.0659849106719662,0,0.278144058942811,0,0,0.754010357498497,0.0316517844461802,0.25
"6",6,0,0,0,0.395593394967569,0,0,0.500289731684775,0,0,0,0.501542266672612,0.172087127188278,0,0,0,0,0,0.626292104812073,0,0.029606209982873,0,0.39076048079919,0,0,0.747310258242888,0.0399207536517375,0.27
"7",7,0,0,0,0.689058202309959,0,0,0.861527452644298,0,0,0,0.545519360291433,0.351716457918449,0,0,0,0,0,0.735935220209203,0,0.0928725482774533,0,0.318824630027861,0,0,0.644409495040859,0,0.21
"8",8,0,0,0,0.44634348598551,0,0,0.885999202706424,0,0,0,0.71175993220071,0.233025753535814,0,0,0,0,0,0.786069258078754,0,0.0679302194444237,0,0.420073870689745,0.00641608561395101,0,0.763483804549883,0.0601355874784816,0.22
"9",9,0,0,0,0.712084001015276,0,0,1,0,0,0,0.892171715412468,0.530319267832776,0,0,0,0,0,0.945018939691954,0,0.0941788747909099,0,0.53023662350056,0.0722348920364104,0.0361934796024141,0.86521915167405,0.259921095617512,0.14
"10",10,0,0,0,0.722793419232363,0,0,0.711779444942079,0,0,0,0.741430143172291,0.777493823980721,0,0,0,0,0,0.79959741734762,0,0.0403308975339874,0,0.442713042782884,0.0153242730256411,0,0.800002250947435,0.0770008926718644,0.22
"11",11,0,0,0,0.720889478249683,0,0,0.475224907764105,0,0,0,0.867217617066202,0.687985890490383,0,0,0,0,0,0.846318134897294,0,0.0539322198326529,0,0.439443940122825,0.0517107496416317,0.0951825504033864,0.917048519949513,0.457798819232483,0.25
"12",12,0,0,0,0.60950803756738,0,0,0.14473288682425,0,0,0.354454347746256,0.904825780520409,0.134313024522315,0,0,0,0,0,0.964694448595371,0,0.0952006305147408,0,0.484233626090873,0.0656951911909719,0.0426074252580467,0.873324817553186,0.331574140017235,0.1
"13",13,0,0,0,0.495117786266894,0,0,0.608017629366616,0,0,0,0.812518732075796,0.498516779488642,0,0,0,0,0,0.798344977051884,0,0.0920494102662373,0,0.619150623193328,0.200429621915445,0.0887867335563211,0.877397357928115,0.303759545618833,0.12
"14",14,0,0,0,0.715462851632728,0,0,0.0751304712248682,0,0,0,0.711383492900402,0.174648530773169,0,0,0,0,0,0.743446272803142,0,0,0,0.253465689748605,0,0,0.831113971006716,0.128373548310532,0.36
"15",15,0,0,0,0.653927064881864,0,0,0.186054657666567,0,0,0,0.570090668365344,0.672798268079277,0,0,0,0,0,0.725678260577022,0,0.0207266383535554,0,0.326905246155023,0,0,0.78844209722089,0.128069773676238,0.3
"16",16,0,0,0,0.55389848493397,0,0,0.114440345478953,0,0,0,0.560905490438577,0.253537083619288,0,0,0,0,0,0.650549662365257,0,0.0121754266460523,0,0.283625543768172,0,0,0.635825698259437,0,0.27
"17",17,0,0,0,0.53032032456771,0,0,0.589442498921641,0,0,0,0.634983575749938,0.590168726763032,0,0,0,0,0,0.651939725694351,0,0,0,0.24224049056623,0,0,0.677873617892022,0,0.28
