"","cell_clustering","CD11c","Tbet","Ly6C","CD62L","Gata3","CD49b","IgM","CD8a","Foxp3","CD5","CD38","CD45R","CD69","F4_80","CD11b_Mac1","CD25_IL2R","Ly6G","CD19","CD3e","ROR_gamma_t","CD206_MMR","CD44","CD4","CD117_ckit","I_A_I_E_MHC_class_II","FceR1a","proportion"
"1",1,0,0,0,1.23649399498948,0,0,2.61466410134041,0,0,2.2845648012439,3.07954514684529,0.35297131876683,0,0,0.0380806252883426,0,0,3.18430879127813,0,0.221056295687739,0,3.13237675822975,0.579394921128384,0.171142908889669,5.48475706390187,0.522338942835575,0.07
"2",2,0,0,0,0.107273721041438,0,0,1.65889733846778,0,0,0,2.14920157816176,0.382003932233057,0,0,0,0,0,2.16080073986781,0,0.0885357077648066,0,2.45077187839209,0.139485520886386,0,5.00136436067531,0.19590825205207,0.27
"3",3,0,0,0,2.38773920502975,0,0,2.33801142083954,0,0,0,2.40088956118162,1.03603396390689,0,0,0,0,0,1.48928282205112,0,0.0799134332536735,0,1.81024896062843,0.00221442026714714,0.0279610676204577,5.29834877396105,0.314426473878308,0.26
"4",4,0,0,0,1.20974470683794,0,2.94337077000814,1.23062862189742,0,0,0,2.03487188057752,0.556518856250104,0,0,0,0,0,1.92619350369904,0,0.299475566497887,0,2.36592731934094,0.214567272214721,0.0341994683643944,4.96767411043369,0.224051616646534,0.08
"5",5,0,0,0,2.24378252980141,0,0,1.51699922042635,0,0,0,1.75722519940287,0.52328382947408,0,0,0,0,0,0.892796775983022,0,0.129873797219655,0,1.48596793785758,0,0,4.69867082107673,0.0469863912423629,0.25
"6",6,0,0,0,1.4899104241915,0,0,1.67621652475204,0,0,0,1.58370073905952,0.325024163073536,0,0,0,0,0,1.93493159391279,0,0.0582719726768039,0,2.08761441123858,0,0,4.65691866136491,0.059261497656158,0.27
"7",7,0,0,0,2.59517729961196,0,0,2.88654046083802,0,0,0,1.72256551735204,0.664293426486578,0,0,0,0,0,2.27367437289225,0,0.182794981146849,0,1.7033014468165,0,0,4.01568501156738,0,0.21
"8",8,0,0,0,1.68104882690041,0,0,2.96853285293769,0,0,0,2.24749698193437,0.440120081932062,0,0,0,0,0,2.4285636538825,0,0.133702621635281,0,2.24421943704012,0.0294723131452283,0,4.75770530089878,0.0892699824130853,0.22
"9",9,0,0,0,2.68189860980775,0,0,3.40815911427191,0,0,0,2.81717633578635,1.00162388091083,0,0,0,0,0,2.91963923735652,0,0.185366138446049,0,2.83275733083946,0.331811245392322,0.0874163339493247,5.39167657496764,0.385847259625892,0.14
"10",10,0,0,0,2.72223314026666,0,0,2.38481102454947,0,0,0,2.34118546676634,1.46846706992614,0,0,0,0,0,2.47035894808419,0,0.0793806758950586,0,2.36516785491361,0.0703921051727596,0,4.98527267688085,0.114306164167248,0.22
"11",11,0,0,0,2.7150623898112,0,0,1.59223704369345,0,0,0,2.73837973853098,1.29941176842582,0,0,0,0,0,2.61470276430436,0,0.106151271719878,0,2.34770287019714,0.237533520921049,0.229889739909281,5.71465508311266,0.679592471865994,0.25
"12",12,0,0,0,2.29557012415384,0,0,0.484926316102637,0,0,2.04541807580733,2.8571335908279,0.253679511643416,0,0,0,0,0,2.98042678922093,0,0.187377193615079,0,2.58698907874749,0.301771105221221,0.102907621925079,5.44218762613947,0.492214658392823,0.1
"13",13,0,0,0,1.8647458737832,0,0,2.0371579369673,0,0,0,2.56565917170868,0.941557928700478,0,0,0,0,0,2.46648952951881,0,0.181174852270962,0,3.3077750366726,0.92067421416999,0.214442237554617,5.46756596005363,0.450924493003468,0.12
"14",14,0,0,0,2.6946242640294,0,0,0.25172400991608,0,0,0,2.24630831402396,0.329861933742821,0,0,0,0,0,2.29687979549919,0,0,0,1.35412523188505,0,0,5.17914764130578,0.190567763291367,0.36
"15",15,0,0,0,2.46286404935632,0,0,0.623374560652157,0,0,0,1.80015339247665,1.27072662303521,0,0,0,0,0,2.24198546112519,0,0.0407948908191583,0,1.74647165339484,0,0,4.91323473143103,0.19011681639955,0.3
"16",16,0,0,0,2.08612969059975,0,0,0.383431411922362,0,0,0,1.77114970916294,0.478860213183206,0,0,0,0,0,2.00987540070866,0,0.0239640983853599,0,1.51525244148242,0,0,3.96219445262502,0,0.27
"17",17,0,0,0,1.99732803880314,0,0,1.97492211914142,0,0,0,2.00506323201324,1.11466266897734,0,0,0,0,0,2.01417000610499,0,0,0,1.2941552791042,0,0,4.22421914645026,0,0.28
"18",18,0,0,0,0,0,0,0,0,0,0,0.850227729084252,0.230016293481357,0,0,0,0,0,2.08224155282311,0,0.0938655555355776,0,2.26124599019267,0.0568966770341649,0,4.57341035292719,0.0481969105954231,0.23
"19",19,0,0,0,0.183148996983741,0,0,0.413999912413053,0,0,1.89730303658325,2.68709934396857,0.189841180871062,0,0,0,0,0,2.66027794588123,0,0.1137495389141,0,2.57225676154864,0.260426793428862,0.0669385956484599,5.25225098677366,0.39846644926399,0.14
