"","cell_clustering","CD11c","Tbet","Ly6C","CD62L","Gata3","CD49b","IgM","CD8a","Foxp3","CD5","CD38","CD45R","CD69","F4_80","CD11b_Mac1","CD25_IL2R","Ly6G","CD19","CD3e","ROR_gamma_t","CD206_MMR","CD44","CD4","CD117_ckit","I_A_I_E_MHC_class_II","FceR1a","proportion"
"1","B cells",0,0,0,0.300455214467383,0,0,0.346404038582365,0,0,0,0.566707641575996,0.261451093657408,0,0,0,0,0,0.603216850471441,0,0.00395071647385518,0,0.139989537917137,0,0,0.780772406042716,0.0980080207082121,63.01
"2","CD11b+ CD11c+ cells (MHC-)",0.431763076401476,0,0,0.14588861803758,0,0.0876535226115596,0,0,0,0,0,0,0,0.384276848551556,0.912333629458547,0,0.0785571281033729,0,0,0.199974816839618,0,0.870871094233135,0.332432541695098,0.0116612831861757,0.0289385187602267,0,1.43
"3","CD11b+ CD11c+ cells (MHC+)",0.62415863522738,0,0,0.0283187804989642,0,0,0,0,0,0,0.341840540391439,0,0,0.0287107467843246,0.603573311180141,0,0,0,0,0.190606377004893,0.238006726024812,0.564947573869764,0.179302473851892,0.104382004073993,0.827831036069134,0.182975726596934,0.54
"4","CD11c+ cells (MHC-)",0.613615464250643,0.0418349111898965,0,0,0.0505130124993601,0.0964117764926051,0,0,0,0,0.239429378059415,0,0.255680257798133,0,0,0,0,0,0,0.0984608962736239,0,0.523850259455413,0.0521877798190507,0.0612580419842533,0.0184394909811333,0,1.72
"5","CD11c+ cells (MHC+)",0.771015103182988,0,0,0,0,0,0,0,0,0,0.122566422664355,0,0,0,0.0200465806089849,0,0,0,0,0.143234884515318,0,0.304815238229672,0.0150674767208147,0.0122426995639101,0.572366080567646,0,0.9
"6","CD8+ T cells",0,0,0,0,0,0,0,0.860439217936367,0,0.501915142458407,0,0,0,0,0,0,0,0,0.356272845211232,0,0,0.105106905567415,0,0,0,0,0.43
"7","CD8+ T cells (CD44+ CD69+)",0,0.10902978388327,0,0,0.118932980661649,0,0,0.879511570995447,0,0,0.709281547330317,0,0.594264469547376,0,0,0,0,0,0.809302361962314,0.0570656149893129,0,0.229637209006439,0,0.102480347671517,0.0164135266431992,0,0.19
"8","CD8+ T cells (CD44+)",0,0.297521745366891,0,0,0.161768043476446,0,0,0.9862315051523,0,0.697567656169178,0.395747121917739,0,0.120203759140967,0,0,0,0,0,0.336303734172314,0.183684434184711,0,0.618543984531106,0.111143491854358,0,0.00745434513759877,0,0.19
"9","CD8+ T cells (CD62L+ CD44+)",0,0,0,0.884166591085336,0.0841856073563307,0,0,1,0,0.683578486675412,0,0,0,0,0,0,0,0,0.551141796165825,0.0970211519925561,0,0.385984891558833,0,0,0,0,0.29
"10","CD8+ T cells (CD62L+)",0,0,0,0.765141858642386,0.0254418603326443,0,0,0.974581823866442,0,0.547206437949306,0,0,0,0,0,0,0,0,0.490827079564111,0.0352319050501271,0,0.0876308294595802,0,0,0,0,0.38
"11","DN T (CD44+ CD69+)",0,0.166772046050105,0,0,0.171700515714347,0,0,0,0,0.329369392195626,0.448927253117867,0,0.547379129658166,0,0,0,0,0,0.494127363097414,0.208958649115071,0,0.564982730353516,0.055114092194934,0.0404813463942224,0.00199938116104454,0,0.25
"12","DN T (CD62L+ CD44+)",0,0.0325067030811545,0,0.870029203268576,0.103108350841292,0,0,0,0,0.597416428651322,0.017403154136956,0,0,0,0,0,0,0,0.363728682605248,0.0678844228575872,0,0.281028297556987,0,0,0,0,0.1
"13","DN T (CD69+)",0,0.0560051774304593,0,0,0.13896061689219,0,0,0,0,0.073372036094274,0.543278691880617,0,0.422124045496928,0,0,0,0,0,0.738694413346843,0.0384146305721175,0,0.136805571756901,0,0.0839113218700536,0.00104983481812595,0,0.2
"14","Gata3+ Treg (CD44+ CD69+)",0,0.235445517297154,0,0,0.808554395129625,0,0,0,1,0.941421545353757,0.697565905366295,0,0.725721461296806,0,0,0.462934073574769,0,0,0.784678044992106,0.153127064100147,0,0.666801357054599,0.807682474745767,0.189245981915207,0.0657193342328288,0.277686217247844,0.35
"15","Gata3+ Treg (CD44+)",0,0.203625791538436,0,0,0.546755176787415,0,0,0,0.781621202509405,0.919376984110786,0.196555462862901,0,0.0214692902855376,0,0,0,0,0,0.536112975918278,0.199673069187721,0,0.640052474031028,0.824718467035556,0.180680389055823,0.0630795096281751,0.205323578417107,0.85
"16","Gata3+ Treg (CD62L+ CD44+)",0,0.0539276282469138,0,0.812513785473142,0.373104192783807,0,0,0,0.44565105864705,0.870568378227305,0,0,0,0,0,0,0,0,0.727017979336847,0.0931867789490574,0,0.359688432199549,0.838353813981929,0.148718509118211,0,0.115049646658451,0.63
"17","ILC1",0,0.766085285965503,0,0,0.351124098653948,0.0326756687659877,0,0,0,0,0.541556087712487,0,0.710426851330308,0,0,0,0,0,0,0.201678795701771,0,0.729118742263194,0.204522621010545,0.594793292263918,0.0747451849227769,0,2.21
"18","ILC2",0,0,0,0,0.820714772302355,0.101109903780861,0,0,0,0,0.524116116066035,0,0.6295190680811,0,0,0.508636098360018,0,0,0,0.167870632761449,0,0.843119385157392,0.314106082566914,0.271582641121055,0.019568049474201,0,2.58
"19","ILCs",0,0.0467025821172129,0,0,0.110664318245245,0,0,0,0,0,0.347640274762835,0,0.6334134646318,0,0,0,0,0,0,0.108631116363635,0,0.749269371069098,0.231906302594403,0.261139087015115,0.0117378131642247,0,0.99
"20","LTi",0,0.0701363921765709,0,0,0.489901045877491,0,0,0,0,0,0.666737827539812,0,0.981051589641598,0.0985135627142856,0,0.499666284961686,0,0,0,1,0,0.746128350617866,0.35020318961938,1,0.24035355710519,0,0.44
"21","Ly6C+ CD11b+ Monocytes (MHC-)",0,0.92044536835715,1,0.570923030389484,0,0,0,0,0,0,0,0,0,0.125248583291021,0.951976522726877,0,0,0,0,0.202034455622643,0,0.619157220400506,0.0454926102921291,0,0.0148491065652376,0,0.2
"22","Ly6C+ CD11b+ Monocytes (MHC+)",0.131006478543492,0.491589773914808,1,0.348720247225006,0,0,0,0,0,0,0.249477439315874,0,0,0.260160457727457,0.944402712913124,0,0,0.0190968570846745,0,0.215440182325281,0.045170754441908,0.709630400450074,0.160387666614215,0.0205098819053901,0.821153669245018,0.116664998730198,0.22
"23","Ly6C+ CD11c+ Monocytes (MHC-)",0.673392341528484,0.261362179425462,0.770992952642405,0.0467537537124999,0,0.180904260027256,0,0,0,0,0.389863251573254,0,0,0,0,0,0,0,0,0.13931505269786,0,0.120254000015778,0,0,0.0145324279276284,0,0.54
"24","Ly6C+ CD11c+ Monocytes (MHC+)",0.695615791253206,0.331660651905793,0.919482159730019,0.184301931940401,0,0,0,0,0,0.0289952512048655,0.457379245411257,0,0,0,0,0,0,0,0,0.222657292270625,0,0.536333826763962,0.170987715065041,0,0.562140948215523,0,0.1
"25","Ly6C+ CD8+ T cells",0,0.00363717062491117,0.52222373663421,0.0102287839978209,0.0153370192663408,0,0,0.868588535686628,0,0.605571810727247,0,0,0,0,0,0,0,0,0.347598810778971,0.0172690500909396,0,0.110773849173262,0,0,0,0,0.18
"26","Ly6C+ CD8+ T cells (CD44+)",0,0.346239439826035,0.709038168081514,0.0698434911187711,0.114652512270894,0,0,1,0,0.719567512247789,0.0433770488949437,0,0,0,0,0,0,0,0.436493272541547,0.14534102347134,0,0.472428575444997,0.0150797464624082,0,0,0,0.12
"27","Ly6C+ CD8+ T cells (CD62L+ CD44+)",0,0.0814753570100403,0.60210231056521,0.840143763721878,0.0535716994015132,0,0,0.97491330767408,0,0.685404493285922,0,0,0,0,0,0,0,0,0.343724010484836,0.0839091093103531,0,0.380806718654077,0,0,0,0,0.49
"28","Ly6C+ CD8+ T cells (CD62L+)",0,0.101243065743444,0.666973506043079,0.901436144065232,0.074470034668303,0,0,1,0,0.712369434855707,0,0,0,0,0,0,0,0,0.505178033647795,0.121023309880193,0,0.138380625784277,0,0,0,0,0.22
