"","cell_clustering","CD11c","Tbet","Ly6C","CD62L","Gata3","CD49b","IgM","CD8a","Foxp3","CD5","CD38","CD45R","CD69","F4_80","CD11b_Mac1","CD25_IL2R","Ly6G","CD19","CD3e","ROR_gamma_t","CD206_MMR","CD44","CD4","CD117_ckit","I_A_I_E_MHC_class_II","FceR1a","proportion"
"1","B cells",0,0,0,1.13159461642262,0,0,1.16062380844238,0,0,0,1.78947093880811,0.493807551378824,0,0,0,0,0,1.86364051692459,0,0.00777593763441747,0,0.747885702721889,0,0,4.8654404885706,0.145490792587569,63.01
"2","CD11b+ CD11c+ cells (MHC-)",2.16251341174403,0,0,0.549455515562644,0,0.171332339201436,0,0,0,0,0,0,0,0.480269795384051,4.30604452172423,0,0.0687972414964568,0,0,0.393597392900619,0,4.65257654237172,1.52703011742837,0.0281649246349995,0.180332501207226,0,1.43
"3","CD11b+ CD11c+ cells (MHC+)",3.12613906447153,0,0,0.1066560938644,0,0,0,0,0,0,1.07941673600127,0,0,0.0358827354169396,2.84875342325007,0,0,0,0,0.375158103630252,0.777780594450234,3.01819849948152,0.823626580915105,0.252108728607109,5.15868979156233,0.271623519121264,0.54
"4","CD11c+ cells (MHC-)",3.07333290784154,0.0922907017751374,0,0,0.182848655651926,0.188451698242024,0,0,0,0,0.756036944804044,0,0.745157889604013,0,0,0,0,0,0,0.193794162127113,0,2.79863856430299,0.239724760816297,0.147953540637747,0.11490703989266,0,1.72
"5","CD11c+ cells (MHC+)",3.86167922275051,0,0,0,0,0,0,0,0,0,0.387023282095838,0,0,0,0.0946161204885681,0,0,0,0,0.281919883756489,0,1.62845711212132,0.069212510390869,0.0295691910608295,3.56674119260041,0,0.9
"6","CD8+ T cells",0,0,0,0,0,0,0,3.25253557419395,0,2.89635692560546,0,0,0,0,0,0,0,0,1.0524208632552,0,0,0.561527333405011,0,0,0,0,0.43
"7","CD8+ T cells (CD44+ CD69+)",0,0.240527229119796,0,0,0.430517495406446,0,0,3.3246307385183,0,0,2.23967108128405,0,1.73193214762866,0,0,0,0,0,2.39065845702011,0.112318529097981,0,1.22682300394857,0,0.247515751281861,0.102282094592473,0,0.19
"8","CD8+ T cells (CD44+)",0,0.656353506970169,0,0,0.585573257534089,0,0,3.72804143283009,0,4.02539142797708,1.24963547662657,0,0.350323408836166,0,0,0,0,0,0.993432620506703,0.361534094913117,0,3.30453410603632,0.510538043454917,0,0.0464522982210365,0,0.19
"9","CD8+ T cells (CD62L+ CD44+)",0,0,0,3.33000762282166,0.304737816429796,0,0,3.90035217066128,0,3.94466537586341,0,0,0,0,0,0,0,0,1.62805875523002,0.190960407335246,0,2.06210111240157,0,0,0,0,0.29
"10","CD8+ T cells (CD62L+)",0,0,0,2.88172867817979,0.0920952786010736,0,0,3.68400461765429,0,3.15771536305404,0,0,0,0,0,0,0,0,1.44989062660003,0.0693446614619171,0,0.468162445891303,0,0,0,0,0.38
"11","DN T (CD44+ CD69+)",0,0.367910645168451,0,0,0.621527145574786,0,0,0,0,1.90066256119642,1.41756033297752,0,1.59528889943234,0,0,0,0,0,1.45963957966168,0.411279684189879,0,3.01838632088552,0.253166787605225,0.0977726080495339,0.0124592902845227,0,0.25
"12","DN T (CD62L+ CD44+)",0,0.0717120307997764,0,3.27676244292993,0.373234982531603,0,0,0,0,3.44745767605154,0.0549532709406823,0,0,0,0,0,0,0,1.07444521602856,0.133612483199515,0,1.50137680951238,0,0,0,0,0.1
"13","DN T (CD69+)",0,0.123551287216464,0,0,0.503014188425628,0,0,0,0,0.423401461542943,1.71549024482966,0,1.23024384284666,0,0,0,0,0,2.18208438455463,0.0756090125815801,0,0.730875554644961,0,0.202666895123082,0.00654212263508415,0,0.2
"14","Gata3+ Treg (CD44+ CD69+)",0,0.519409062984038,0,0,2.92683165892712,0,0,0,2.1998230438352,5.43257730668188,2.20267704893645,0,2.11505212485833,0,0,0.651396171373702,0,0,2.3179188551358,0.301390015827251,0,3.5623462218432,3.7100924535453,0.457076526915753,0.409534849315379,0.412219199470555,0.35
"15","Gata3+ Treg (CD44+)",0,0.449212551576748,0,0,1.97916228115629,0,0,0,1.62566407862517,5.30536672420119,0.620655630615791,0,0.0625703805926932,0,0,0,0,0,1.58366400499512,0.393003482672434,0,3.41944192003066,3.78834734752811,0.436388471108598,0.393084588759546,0.304798423077611,0.85
"16","Gata3+ Treg (CD62L+ CD44+)",0,0.118968070312968,0,3.06014401194684,1.35057476664019,0,0,0,0.92689261155895,5.0237112575274,0,0,0,0,0,0,0,0,2.14759249743576,0.183413460888785,0,1.9216138568564,3.85098136447039,0.359192512030705,0,0.170788718701829,0.63
"17","ILC1",0,1.69003702052649,0,0,1.27101050262409,0.0638696380687122,0,0,0,0,1.710050843855,0,2.07047731340007,0,0,0,0,0,0,0.396951223389379,0,3.89527311139482,0.939475420745477,1.43657503060007,0.465780099596757,0,2.21
"18","ILC2",0,0,0,0,2.9708501901577,0.197634913179433,0,0,0,0,1.65498131567964,0,1.83467861099842,0,0,0.715703652003184,0,0,0,0.330408820689032,0,4.50431470257531,1.44284745922091,0.65594021663212,0.121939734879567,0,2.58
"19","ILCs",0,0.103029119835911,0,0,0.400586320604741,0,0,0,0,0,1.09773033431725,0,1.84602849127464,0,0,0,0,0,0,0.213811543194971,0,4.00292663614402,1.06526246400965,0.630716413246226,0.073145043260368,0,0.99
