"","cell_clustering","CD117_ckit","CD11b","CD11c","CD19","CD206_MMR","CD25_IL2R","CD38","CD3e","CD4","CD44","CD45R","CD49b","CD5","CD62L_L_selectin","CD69","CD8a","F4_80","FceR1a","Foxp3","Gata3","IA_IE_MHC_class_II","IgM","Ly6C","Ly6G","ROR_gamma_t","Tbet","proportion"
"1",1,0.0862100535921163,1,0.556324510028576,0.0172241899303211,0,0.0886460363696921,0,0,0.50359901308447,0.981283081755531,0.0312328662068051,0.116928830259979,0,0.332738263763598,0,0,0.598650216918116,0,0,0,0.0133662261116241,0,0,0.32905696829242,0.138827537814228,0,0.33
"2",2,0.0488598732611438,0.931658953706043,0.122009261151665,0,0,0,0,0,0.450100207149003,0.938358964691563,0,0.112789365314069,0,0.251080881407606,0,0,0.408158400424205,0,0,0,0,0,0,1,0.156552267427716,0,0.22
"3",3,0,0.888523905675194,0.464692223226208,0,0,0,0,0,0.220271909990215,0.78353729842426,0,0,0,0.150513732557635,0,0,0.198796848334982,0,0,0,0,0,0,0.00121533279510314,0.0161324500029555,0,0.28
"4",4,0,0.727725487609889,0,0,0,0,0,0,0,0.359352164047028,0,0,0,0.0987085318261808,0,0,0,0,0,0,0,0,0.474885920029675,1,0,0,0.12
"5",5,0,0,0,0,0,0,0.010727067784246,0,0.0525206474441438,0.489705408414201,0,1,0,0,0,0,0,0,0,0,0.0519714268740627,0,0.0268092885876408,0,0.0803167569599244,0,0.06
"6",6,0.0663881940248215,0,0,0,0,0.32027652784927,0.229539497352318,0,0.108274990096016,0.656929128947369,0,0,0,0,0.332899789542275,0,0,0,0,0.990899915835041,0,0,0,0,0,0,0.27
"7",7,0.175764665337055,0,0,0,0,0.568807255772415,0.608625214697053,0,0.320984266747957,0.838311521400147,0,0.0464219570557458,0,0,0.62528295204704,0,0,0,0,1,0,0,0,0,0.0463587573611866,0,0.28
"8",8,0.515288016057772,0,0,0,0,0.855942395144961,0.554600771826116,0,0.533697643003119,0.985818384071094,0,0.0965933593625144,0,0,0.858397142908033,0,0.021833601206468,0,0,0.997484471770511,0,0,0,0,0.129060048105127,0,0.3
"9",9,0.197700721437576,0,0,0,0,0,0.554730395831434,0,0.369339830638639,0.848987532850962,0,0,0,0,0.752768256525117,0,0,0,0,0.150234381821826,0.0201258373942138,0,0,0,0.22628435436028,0.284464141759388,0.27
"10",10,0,0,0,0,0,0,0.171885508984962,0.09037617623799,0.140050154428329,0.692040496423796,0,0,0.406051804418207,0,0.43429351351075,0,0,0,0,0.0921080581234538,0,0,0,0,0.312425539566573,0.0570259607863005,0.22
"11",11,0.050106507996565,0,0,0,0,0,0.377628881658238,0.115472928744879,0.41859349539048,0.896158026850813,0,0,0.508731144945567,0,0.626117358717512,0,0,0,0,0.187368586431372,0.0356657738162444,0,0,0,0.613351685160294,0.211279176623357,0.26
"12",12,0.288068426353398,0,0,0,0,0.614407798463727,0.696513124490739,0.813803506686543,0.854142164873828,0.744024202731807,0,0,0.929140766683737,0,0.789189910369657,0,0,0.168126274505462,1,0.872822331591976,0.0229930614829021,0,0,0,0.0769508200621042,0.218886993893679,0.21
"13",13,0.333399047671749,0,0,0,0,0.513288581222975,0.707224797045875,0.869632101379919,0.88789350571455,0.751964908167333,0,0,0.96984814782234,0,0.774560431287012,0,0,0.261309267119825,0.908749985135478,0.379465877759898,0.302977963160829,0,0,0,0.165898026034809,0.27782873015687,0.18
"14",14,0.370880080294158,0,0,0,0,0,0.264629188653963,0.467275630496228,0.932169251788261,0.809911622522981,0,0.230436254787298,0.949833363200901,0,0.00329000140757165,0,0,0.213311952827333,0.534160512556473,0.143491001137199,0.383515411065438,0,0,0,0.149974883676215,0.193175711095741,0.17
"15",15,0.38602554172587,0,0,0,0,0,0.0310114878571127,0.436390688184462,0.948235283663127,0.812786185314125,0,0.844411302270519,0.882874617833784,0,0,0,0,0.0825137576515482,0.144881731527947,0.256522559396562,0.0721921405061156,0,0,0,0.151821711400545,0.101732345315241,0.16
"16",16,0.446997018395261,0,0,0,0,0,0.0752891720303188,0.62989311542684,0.937241578593621,0.722554682475728,0,0,0.588460307847424,0,0,0,0,0,0,0.176897789177101,0.0636439335353292,0,0,0,0.054886305344877,0,0.25
"17",17,0.6577780240374,0,0,0,0,0,0.300064747677692,0,0.913367768779746,0.768258189525094,0,0,0,0,0.721819014671364,0,0,0,0,0.155581674186271,0.0705779484434776,0,0,0,0.132019555598022,0.290404862478157,0.1
"18",18,0.205933895028598,0,0,0,0,0,0,0.581355173133594,0.83422463637599,0.309563420244396,0,0,0.378932132472442,0.626622458807582,0,0,0,0,0,0,0,0,0,0,0,0,0.26
"19",19,0.349185545275174,0,0,0,0,0,0,0.705199504094826,0.923293567040204,0.42824747597588,0,0,0.813306604168547,0.908023026862745,0,0,0,0.0325566569979975,0,0.0431348842773362,0.245527827900498,0,0,0,0.00286118366358141,0,0.25
"20",20,0.278836144029478,0,0,0,0,0,0,0.770902447866794,0.907727461369947,0.317329080742174,0,0,0.833453613422528,0.953558111864801,0,0,0,0.0211942176246324,0,0.0207021543906106,0,0,0,0,0,0.00460511920578021,0.4
"21",21,0.0571640873170704,0.898115932275366,0.390241523937712,0,0,0,0,0,0.450045692906642,0.932280413403319,0,0.0761340662445552,0,0.156921072105413,0,0,0.262717303326542,0,0,0,0.274864009030692,0,0,0.0884057659804506,0.13393881169815,0,0.23
"22",22,0.0637005480795489,0.880617928584105,0.373620465143513,0,0,0,0,0,0.476252729297433,0.947341676045285,0,0.039677249215586,0,0.0946163634258649,0,0,0.201633546450219,0,0,0,0,0,0,0.0222477272509569,0.11712845243229,0,0.44
"23",23,0.0478295830992906,0.839388435878269,0.0712352154442701,0,0,0,0,0,0.446384750254969,0.929361814820026,0,0.107495653255526,0,0.139484751736481,0,0,0.212381556486989,0,0,0,0,0,0,0.068371370323314,0.104395469196872,0,0.35
"24",24,0,0.67675012305416,0.187610444946215,0,0,0,0,0,0.134582427915363,0.682277864896544,0,0,0,0.00591879892573743,0,0,0,0,0,0,0,0,0,0,0,0,0.29
