"","cell_clustering","CD117_ckit","CD11b","CD11c","CD19","CD206_MMR","CD25_IL2R","CD38","CD3e","CD4","CD44","CD45R","CD49b","CD5","CD62L_L_selectin","CD69","CD8a","F4_80","FceR1a","Foxp3","Gata3","IA_IE_MHC_class_II","IgM","Ly6C","Ly6G","ROR_gamma_t","Tbet","proportion"
"1",1,0.192641650367296,4.78554068297609,2.71949001962014,0.0511723553272451,0,0.117223865608393,0,0,2.2596032026049,5.26708753521012,0.0533212205404379,0.196912621972261,0,1.12644552394665,0,0,0.727265977081046,0,0,0,0.0827267031374823,0,0,0.466864851718883,0.206672522640252,0,0.33
"2",2,0.109180382444681,4.28006050521397,0.596419826956998,0,0,0,0,0,2.01955890131267,5.03669012374854,0,0.189941604694066,0,0.85000424000265,0,0,0.495848342654069,0,0,0,0,0,0,1.96586172948186,0.233059323414879,0,0.22
"3",3,0,4.08189720228757,2.27156244328306,0,0,0,0,0,0.988340128407485,4.20567684762224,0,0,0,0.509546207323212,0,0,0.241506943552564,0,0,0,0,0,0,0.00172430983035953,0.0240163744958161,0,0.28
"4",4,0,3.34318594349002,0,0,0,0,0,0,0,1.92884126832875,0,0,0,0.334165907441125,0,0,0,0,0,0,0,0,2.4742123587311,2.7228190462926,0,0,0.12
"5",5,0,0,0,0,0,0,0.0324194353026815,0,0.235655392652179,2.62851902834091,0,2.57106650538593,0,0,0,0,0,0,0,0,0.321663330152922,0,0.139679595360891,0,0.119567537050206,0,0.06
"6",6,0.148348489868187,0,0,0,0,0.423527708577413,0.693716217096376,0,0.485820083094434,3.52610097017565,0,0,0,0,1.00672065442569,0,0,0,0,2.08497112926178,0,0,0,0,0,0,0.27
"7",7,0.392756920984935,0,0,0,0,0.752180109098951,1.83939228951546,0,1.4402273600322,4.49968031354461,0,0.0781763510385454,0,0,1.89091517165434,0,0,0,0,2.35365222172643,0,0,0,0,0.0690142710960178,0,0.28
"8",8,1.15144266465155,0,0,0,0,1.13188226350642,1.67611915974276,0,2.39465303151867,5.29143100422416,0,0.162666911273221,0,0,2.59587467644157,0,0.0265243958256041,0,0,2.09882581711176,0,0,0,0,0.192131663025325,0,0.3
"9",9,0.441774383260823,0,0,0,0,0,1.67651091051181,0,1.65719439966543,4.55698435545039,0,0,0,0,2.27644286853361,0,0,0,0,0.316110985292628,0.124563520143986,0,0,0,0.336869464704048,0.483774363291455,0.27
"10",10,0,0,0,0,0,0,0.519473844118919,0.199944699369355,0.628392370217938,3.71456304540925,0,0,2.12918040077551,0,1.31334492802031,0,0,0,0,0.193806295561072,0,0,0,0,0.465107826704164,0.0969812845297419,0.22
"11",11,0.111966064193273,0,0,0,0,0,1.14127321124258,0.255467767992253,1.87819113659633,4.8101744140539,0,0,2.66759160111152,0,1.89343849685833,0,0,0,0,0.394245762863739,0.220743825371852,0,0,0,0.913096508326436,0.35931224412166,0.26
"12",12,0.643706560420272,0,0,0,0,0.812481416489878,2.10500787643557,1.80042688530752,3.83245860512649,3.9935882692408,0,0,4.87205890592969,0,2.38658541696855,0,0,0.259919698920337,1.8748315609121,1.83652186589465,0.142309441396005,0,0,0,0.114556667588189,0.372250489811342,0.21
