Marker,antigen,Type
CD117_ckit,Yb173Di,type
CD11b,Nd148Di,type
CD11c,Bi209Di,type
CD19,Sm149Di,type
CD206_MMR,Tm169Di,type
CD25_IL2R,Nd150Di,type
CD326_EpCAM,Er166Di,none
CD38,Lu175Di,type
CD3e,Sm152Di,type
CD4,Yb172Di,type
CD44,Yb171Di,type
CD45,Y89Di,none
CD45R,Nd144Di,type
CD49b,Er170Di,type
CD5,Gd160Di,type
CD62L_L_selectin,Dy164Di,type
CD69,Nd145Di,type
CD8a,Eu153Di,type
F4_80,Nd146Di,type
FceR1a,Yb176Di,type
Foxp3,Gd158Di,type
Gata3,Er167Di,type
IA_IE_MHC_class_II,Yb174Di,type
IgM,Eu151Di,type
Ly6C,Dy162Di,type
Ly6G,Pr141Di,type
NA,Event_length,none
ROR_gamma_t,Tb159Di,type
Tbet,Dy161Di,type
